category,source,process,term_id,adjusted_p_value,logAdjustedPValue,term_size,query_size,intersection_size,effective_domain_size,intersections
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000169021
Brain Bank REACTOME,REAC,The citric acid (TCA) cycle and respiratory electron transport,REAC:R-HSA-1428517,2.05E-14,13.68800015,177,480,39,10770,ENSG00000111775
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000164258
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000164405
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000183648
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000178741
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000165264
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000119421
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000164919
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000128609
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000173660
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000117118
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000145494
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000125356
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000189043
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000165629
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000124172
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000115944
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000110955
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000065518
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000167283
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000156467
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000154518
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000178449
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000123545
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000152234
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000184076
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000004779
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000119013
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000169021
Brain Bank REACTOME,REAC,"Respiratory ET, ATP synthesis by CC, heat production",REAC:R-HSA-163200,9.56E-11,10.01971027,127,480,29,10770,ENSG00000111775
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000074410
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000160883
Brain Bank REACTOME,REAC,Metabolism,REAC:R-HSA-1430728,7.41E-07,6.13032973,2075,480,146,10770,ENSG00000180089
